job_name	vcf_file	region	output_base
Chromosome17-175	Chromosome_17_RagTag-175.vcf.gz	Chromosome_17_RagTag:15200001-15565877	Chromosome17-175_out
Chromosome18-176	Chromosome_18_RagTag-176.vcf.gz	Chromosome_18_RagTag:1-2000000	Chromosome18-176_out
Chromosome18-177	Chromosome_18_RagTag-177.vcf.gz	Chromosome_18_RagTag:1900001-3900000	Chromosome18-177_out
Chromosome18-178	Chromosome_18_RagTag-178.vcf.gz	Chromosome_18_RagTag:3800001-5800000	Chromosome18-178_out
Chromosome18-179	Chromosome_18_RagTag-179.vcf.gz	Chromosome_18_RagTag:5700001-7700000	Chromosome18-179_out
Chromosome18-180	Chromosome_18_RagTag-180.vcf.gz	Chromosome_18_RagTag:7600001-9600000	Chromosome18-180_out
Chromosome18-181	Chromosome_18_RagTag-181.vcf.gz	Chromosome_18_RagTag:9500001-11500000	Chromosome18-181_out
Chromosome18-182	Chromosome_18_RagTag-182.vcf.gz	Chromosome_18_RagTag:11400001-13400000	Chromosome18-182_out
Chromosome18-183	Chromosome_18_RagTag-183.vcf.gz	Chromosome_18_RagTag:13300001-15300000	Chromosome18-183_out
Chromosome18-184	Chromosome_18_RagTag-184.vcf.gz	Chromosome_18_RagTag:15200001-15634504	Chromosome18-184_out
Chromosome19-185	Chromosome_19_RagTag-185.vcf.gz	Chromosome_19_RagTag:1-2000000	Chromosome19-185_out
Chromosome19-186	Chromosome_19_RagTag-186.vcf.gz	Chromosome_19_RagTag:1900001-3900000	Chromosome19-186_out
Chromosome19-187	Chromosome_19_RagTag-187.vcf.gz	Chromosome_19_RagTag:3800001-5800000	Chromosome19-187_out
Chromosome19-188	Chromosome_19_RagTag-188.vcf.gz	Chromosome_19_RagTag:5700001-7700000	Chromosome19-188_out
Chromosome19-189	Chromosome_19_RagTag-189.vcf.gz	Chromosome_19_RagTag:7600001-9600000	Chromosome19-189_out
Chromosome19-190	Chromosome_19_RagTag-190.vcf.gz	Chromosome_19_RagTag:9500001-11500000	Chromosome19-190_out
Chromosome19-191	Chromosome_19_RagTag-191.vcf.gz	Chromosome_19_RagTag:11400001-12948050	Chromosome19-191_out
Chromosome2-192	Chromosome_2_RagTag-192.vcf.gz	Chromosome_2_RagTag:1-2000000	Chromosome2-192_out
Chromosome2-193	Chromosome_2_RagTag-193.vcf.gz	Chromosome_2_RagTag:1900001-3900000	Chromosome2-193_out
Chromosome2-194	Chromosome_2_RagTag-194.vcf.gz	Chromosome_2_RagTag:3800001-5800000	Chromosome2-194_out
Chromosome2-195	Chromosome_2_RagTag-195.vcf.gz	Chromosome_2_RagTag:5700001-7700000	Chromosome2-195_out
Chromosome2-196	Chromosome_2_RagTag-196.vcf.gz	Chromosome_2_RagTag:7600001-9600000	Chromosome2-196_out
Chromosome2-197	Chromosome_2_RagTag-197.vcf.gz	Chromosome_2_RagTag:9500001-11500000	Chromosome2-197_out
Chromosome2-198	Chromosome_2_RagTag-198.vcf.gz	Chromosome_2_RagTag:11400001-13400000	Chromosome2-198_out
Chromosome2-199	Chromosome_2_RagTag-199.vcf.gz	Chromosome_2_RagTag:13300001-15300000	Chromosome2-199_out
Chromosome2-200	Chromosome_2_RagTag-200.vcf.gz	Chromosome_2_RagTag:15200001-17200000	Chromosome2-200_out
